----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:31 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
MUTUAL_GAZE	player2_player0	0.35753284843	-36.0
MUTUAL_GAZE	player2_player1	0.439593800191	-48.0
MUTUAL_GAZE	player0_player1	0.367171059398	0.0
JA_mainscreen	player2_player0	0.573260791906	18.0
JA_mainscreen	player2_player1	0.556022678772	15.0
JA_mainscreen	player0_player1	0.449235570343	35.0
JA_player1	player2_player0	0.215504280991	-45.0
JA_player0	player2_player1	0.279249830851	-50.0
JA_player2	player0_player1	0.299645599404	-50.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 15: 8 - AGENT-M |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	0	0
player2	mainscreen	15	7793.266666666666
player2	player0	11	1770.4545454545455
player2	player1	11	1279.5454545454545
player2	elsewhere	0	0
player0	player2	11	1838.090909090909
player0	mainscreen	40	1572.45
player0	player0	0	0
player0	player1	13	1131.4615384615386
player0	elsewhere	34	1571.1764705882354
player1	player2	12	2306.25
player1	mainscreen	23	2731.913043478261
player1	player0	2	886.0
player1	player1	0	0
player1	elsewhere	28	2090.964285714286
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	11	1373.4545454545455
MT	player2_player0	1	1257.0
MT	player0_player2	10	1385.1
Total_MT	player2_player1	11	1218.090909090909
MT	player2_player1	0	nan
MT	player1_player2	11	1218.090909090909
Total_MT	player0_player1	0	nan
MT	player0_player1	0	nan
MT	player1_player0	0	nan
Total_JA	player2_player0_mainscreen	40	1389.275
JA	player2_player0_mainscreen	32	1395.15625
JA	player0_player2_mainscreen	8	1365.75
Total_JA	player2_player1_mainscreen	24	2531.375
JA	player2_player1_mainscreen	19	2385.684210526316
JA	player1_player2_mainscreen	5	3085.0
Total_JA	player0_player1_mainscreen	24	1166.1666666666667
JA	player0_player1_mainscreen	6	1154.8333333333333
JA	player1_player0_mainscreen	18	1169.9444444444443
Total_JA	player2_player0_player1	1	336.0
JA	player2_player0_player1	1	336.0
JA	player0_player2_player1	0	nan
Total_JA	player2_player1_player0	0	nan
JA	player2_player1_player0	0	nan
JA	player1_player2_player0	0	nan
Total_JA	player0_player1_player2	7	1785.2857142857142
JA	player0_player1_player2	2	1844.0
JA	player1_player0_player2	5	1761.8
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.760205803158	0.0
MUTUAL_GAZE	player2_player1	0.673077115058	-1.0
MUTUAL_GAZE	player0_player1	0.164808563272	-33.0
JA_mainscreen	player2_player0	0.648706666466	-1.0
JA_mainscreen	player2_player1	0.707451547803	-3.0
JA_mainscreen	player0_player1	0.446564975851	0.0
JA_player1	player2_player0	0.0722448022516	50.0
JA_player0	player2_player1	0.0888080907541	-50.0
JA_player2	player0_player1	0.530626624942	-2.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 15:14 - AGENT-R |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	0	0
player2	mainscreen	19	4962.894736842105
player2	player0	13	1983.8461538461538
player2	player1	14	1956.0
player2	elsewhere	0	0
player0	player2	9	1076.4444444444443
player0	mainscreen	51	1472.5882352941176
player0	player0	0	0
player0	player1	0	0
player0	elsewhere	51	1251.5294117647059
player1	player2	13	1372.923076923077
player1	mainscreen	20	3501.85
player1	player0	9	1788.5555555555557
player1	player1	0	0
player1	elsewhere	31	1331.8709677419354
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	6	685.8333333333334
MT	player2_player0	5	628.4
MT	player0_player2	1	973.0
Total_MT	player2_player1	10	650.7
MT	player2_player1	7	674.0
MT	player1_player2	3	596.3333333333334
Total_MT	player0_player1	0	nan
MT	player0_player1	0	nan
MT	player1_player0	0	nan
Total_JA	player2_player0_mainscreen	40	1214.6
JA	player2_player0_mainscreen	35	1124.2571428571428
JA	player0_player2_mainscreen	5	1847.0
Total_JA	player2_player1_mainscreen	24	2067.0833333333335
JA	player2_player1_mainscreen	14	1731.4285714285713
JA	player1_player2_mainscreen	10	2537.0
Total_JA	player0_player1_mainscreen	32	1099.375
JA	player0_player1_mainscreen	10	1251.6
JA	player1_player0_mainscreen	22	1030.1818181818182
Total_JA	player2_player0_player1	0	nan
JA	player2_player0_player1	0	nan
JA	player0_player2_player1	0	nan
Total_JA	player2_player1_player0	5	1177.2
JA	player2_player1_player0	2	1192.0
JA	player1_player2_player0	3	1167.3333333333333
Total_JA	player0_player1_player2	2	1106.0
JA	player0_player1_player2	1	796.0
JA	player1_player0_player2	1	1416.0
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.299290980265	-28.0
MUTUAL_GAZE	player2_player1	0.412197506036	-29.0
MUTUAL_GAZE	player0_player1	0.0	-50.0
JA_mainscreen	player2_player0	0.597966156221	-35.0
JA_mainscreen	player2_player1	0.628949650897	50.0
JA_mainscreen	player0_player1	0.543326666992	18.0
JA_player1	player2_player0	0.0	-50.0
