25/09/2023 13:20:52 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:53 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:54 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:55 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:56 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:57 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:58 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:59 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:00 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:01 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:02 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:03 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:04 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:05 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:06 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:07 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:08 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:09 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:10 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:11 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:12 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:13 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:14 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:15 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:16 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:17 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:18 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:19 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:20 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:21 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:22 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:23 P0 mainscreen P1 player2 P2 mainscreen Game
25/09/2023 13:21:24 P0 mainscreen P1 player2 P2 mainscreen Game
25/09/2023 13:21:25 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:26 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:27 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:28 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:29 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:30 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:31 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:32 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:33 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:34 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:35 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:36 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:37 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:38 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:39 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:40 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:41 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:42 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:43 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:21:44 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:21:45 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:21:46 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:21:47 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:21:48 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:21:49 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:21:50 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:21:51 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:21:52 P0 mainscreen P1 mainscreen P2 mainscreen Game
